koi_disposition,koi_score,koi_depth,koi_model_snr,koi_period,koi_duration,koi_prad,koi_srad,koi_kepmag,koi_teq
CONFIRMED,1.0,391.8,22.8,4.14451656,2.3421,1.48,0.779,15.66,864.0
FALSE POSITIVE,0.0,6044.3,269.7,4.859386384,2.2757,38.33,0.988,15.311,1114.0
CONFIRMED,0.999,9768.0,482.3,10.526294577,2.5211,8.24,0.793,15.305,713.0
CONFIRMED,1.0,3812.1,99.5,4.583520948,2.7055,5.39,0.877,15.287,1038.0
CONFIRMED,0.876,510.6,35.9,3.76181843,3.5176,2.66,0.949,15.257,1121.0
CONFIRMED,1.0,1024.4,54.4,8.20396958,2.9667,3.01,0.826,15.376,742.0
CONFIRMED,1.0,647.5,25.7,14.49645186,4.016,3.01,0.826,15.376,613.0
CONFIRMED,1.0,655.9,24.8,6.54626149,2.75,2.19,0.817,15.855,810.0
CONFIRMED,1.0,1149.4,52.7,12.71809866,3.0957,2.31,0.686,15.389,562.0
CONFIRMED,0.999,1563.8,51.7,36.06588163,4.3246,2.64,0.686,15.389,397.0
CONFIRMED,1.0,2877.4,240.6,4.190425659,2.8589,6.21,1.135,15.27,1234.0
CONFIRMED,1.0,2020.3,116.1,3.709870784,3.0694,4.35,0.978,15.581,1151.0
CONFIRMED,1.0,1187.5,74.6,16.3297527,6.271,3.75,0.987,15.447,727.0
CONFIRMED,0.985,25391.0,748.1,27.807566216,4.21587,13.84,0.785,15.482,554.0
CONFIRMED,0.942,3604.6,160.9,80.8723469,11.195,7.59,1.238,15.201,452.0
FALSE POSITIVE,0.0,4357.2,122.1,3.166465862,2.9381,26.82,0.704,15.999,954.0
CONFIRMED,0.912,269.6,62.0,24.99324319,5.9409,2.29,1.317,12.377,712.0
CONFIRMED,1.0,750.6,49.2,10.35533116,3.1775,2.47,0.918,15.018,777.0
CONFIRMED,1.0,1442.4,62.6,16.08518937,3.984,3.68,0.826,15.219,613.0
CANDIDATE,0.998,20715.0,271.8,235.9986399,8.2284,10.59,0.657,15.172,188.0
CONFIRMED,1.0,1123.6,53.0,7.49018305,2.7297,2.56,0.787,15.599,753.0
CONFIRMED,1.0,1572.6,45.5,36.2761238,4.7865,3.03,0.787,15.599,445.0
CONFIRMED,1.0,812.4,22.6,17.46087931,2.2641,2.32,0.787,15.599,568.0
CONFIRMED,0.996,1626.0,27.4,56.0560754,4.685,1.94,0.491,15.849,233.0
CONFIRMED,0.974,22839.0,907.8,41.408316686,5.0264,11.38,0.747,15.196,453.0
CANDIDATE,0.994,15179.0,561.1,39.74893077,7.3051,14.21,0.964,15.344,552.0
CONFIRMED,1.0,908.1,59.4,5.715425977,2.5242,2.47,0.826,15.086,850.0
CONFIRMED,0.959,1646.2,355.7,49.18394185,11.3364,8.2,2.057,12.654,669.0
CONFIRMED,0.994,421.2,10.7,20.0261412,1.611,2.28,0.826,15.086,559.0
CANDIDATE,0.0,5732.9,184.1,13.61014819,2.594,19.02,0.903,15.06,733.0
FALSE POSITIVE,0.0,1159.8,51.7,10.44331991,2.743,2.66,0.802,15.546,667.0
CONFIRMED,1.0,315.8,30.7,2.237489571,1.8119,1.41,0.81,15.001,1160.0
FALSE POSITIVE,0.0,33004.0,1630.4,5.851520671,3.11058,14.62,0.806,15.33,901.0
CONFIRMED,1.0,781.2,64.8,3.167893418,2.1814,2.62,0.94,15.533,1221.0
CONFIRMED,1.0,1154.0,86.1,4.311780262,2.7251,3.11,0.927,15.604,1038.0
CONFIRMED,1.0,840.9,37.8,20.0504494,4.556,2.69,0.927,15.604,622.0
CONFIRMED,1.0,569.1,21.1,9.76734503,1.6585,2.67,0.927,15.604,791.0
CANDIDATE,1.0,7430.5,223.5,119.0207044,8.1405,8.98,1.062,15.085,366.0
CONFIRMED,0.987,1141.7,139.3,190.3200468,15.284,7.78,2.057,12.654,426.0
FALSE POSITIVE,0.0,1014.3,58.3,2.861159894,1.8832,4.37,1.021,15.618,1355.0
CONFIRMED,1.0,1843.5,88.0,26.44439337,3.9783,3.91,0.929,15.158,562.0
CONFIRMED,0.983,3644.3,155.5,51.53997972,6.3994,5.51,0.929,15.158,450.0
CONFIRMED,1.0,702.3,59.3,5.902245782,2.9003,2.43,0.929,15.158,926.0
CONFIRMED,1.0,391.6,41.4,2.382951591,1.8876,1.86,0.929,15.158,1253.0
CONFIRMED,1.0,1772.5,62.4,21.02250608,4.1072,3.07,0.75,15.859,521.0
CONFIRMED,1.0,488.2,30.5,3.219814777,2.0642,1.69,0.787,15.599,998.0
CONFIRMED,1.0,961.4,62.8,5.912273234,2.3254,1.73,0.57,15.036,585.0
CONFIRMED,1.0,881.3,51.8,8.98581901,2.8606,1.65,0.57,15.036,509.0
CANDIDATE,0.0,42450.0,307.5,12.940668656,2.4845,22.94,0.809,15.215,723.0
FALSE POSITIVE,0.573,218.5,18.5,20.5452375,2.517,2.41,1.264,12.003,742.0
CONFIRMED,1.0,7425.9,247.9,33.60123371,4.4056,8.46,0.93,15.262,495.0
CONFIRMED,1.0,450.7,29.2,6.76652928,2.9004,1.97,0.93,15.262,845.0
CONFIRMED,1.0,451.6,39.7,4.347288783,2.1024,2.36,1.122,15.024,1174.0
CONFIRMED,1.0,755.9,60.8,4.601811819,2.2607,2.35,0.833,15.024,896.0
CONFIRMED,0.997,353.6,21.9,11.18719905,3.252,1.55,0.833,15.024,667.0
CONFIRMED,1.0,2260.0,157.8,4.220965778,3.0854,2.62,0.517,15.692,595.0
FALSE POSITIVE,0.0,20285.0,192.3,6.998099523,2.0488,588.66,0.829,15.877,853.0
CONFIRMED,1.0,1410.7,87.2,5.95489993,2.3892,2.33,0.633,15.019,635.0
CONFIRMED,1.0,1250.6,57.6,12.03987488,2.7363,2.18,0.633,15.019,502.0
CONFIRMED,0.998,439.0,14.9,20.83762895,2.3734,1.42,0.633,15.019,418.0
FALSE POSITIVE,0.0,401.1,76.8,8.8111022,5.0683,63.66,2.404,12.759,1399.0
CONFIRMED,1.0,1200.7,53.3,23.58917143,5.073,3.16,0.721,15.316,487.0
CONFIRMED,1.0,298.5,125.6,6.481633073,3.784,2.54,1.302,12.365,1145.0
CONFIRMED,1.0,1254.9,64.5,10.37168928,3.035,3.2,0.888,15.193,720.0
CONFIRMED,1.0,299.2,15.0,3.96996298,1.1757,1.78,0.888,15.193,992.0
CONFIRMED,1.0,549.4,45.1,4.40841331,5.012,2.66,0.961,15.662,1139.0
FALSE POSITIVE,0.0,1590.7,60.4,7.9426176,6.703,4.68,0.926,15.26,878.0
CONFIRMED,1.0,3136.4,46.8,226.8904775,7.558,4.53,0.75,15.859,236.0
FALSE POSITIVE,0.0,24905.0,125.4,1.956811408,2.1958,21.58,0.603,15.533,1109.0
CANDIDATE,0.997,37492.0,1011.6,2.688899233,2.11275,12.04,0.639,15.766,929.0
CONFIRMED,1.0,3036.1,175.2,9.439459486,2.8979,4.16,0.779,15.067,686.0
CONFIRMED,1.0,507.3,142.0,11.523067458,3.8757,3.13,1.411,12.346,927.0
CONFIRMED,0.0,1382.4,52.7,20.47748843,2.8364,2.92,0.779,15.067,530.0
CONFIRMED,1.0,516.3,41.6,3.336123113,1.9616,1.74,0.779,15.067,970.0
CONFIRMED,1.0,1333.6,48.5,8.01078456,2.312,1.72,0.47,15.847,453.0
CONFIRMED,1.0,759.2,31.0,12.07134205,4.3224,1.29,0.47,15.847,395.0
CONFIRMED,0.986,767.3,18.2,20.99587872,2.6333,1.3,0.47,15.847,328.0
CONFIRMED,1.0,620.5,50.4,7.41113177,2.5242,2.45,0.919,15.031,905.0
FALSE POSITIVE,0.0,1823.5,147.4,1.000747038,0.9967,4.14,0.79,15.419,1620.0
CONFIRMED,0.999,16053.0,388.2,8.884922995,2.07004,10.51,0.843,15.264,770.0
CONFIRMED,1.0,6911.1,435.9,8.09888906,4.20241,8.95,1.076,15.261,986.0
CONFIRMED,1.0,936.1,71.9,10.00653012,5.344,3.52,1.001,15.063,876.0
CONFIRMED,0.635,9065.2,915.7,17.855221681,7.41287,13.16,1.367,11.353,911.0
CANDIDATE,1.0,6465.7,210.5,12.732624065,2.2083,4.87,0.541,15.75,432.0
CANDIDATE,0.966,7958.7,182.1,83.92494032,6.7904,4.78,0.509,15.754,226.0
CONFIRMED,1.0,6932.3,431.4,5.007316661,4.2362,6.96,0.827,15.813,998.0
CONFIRMED,1.0,724.2,42.6,2.211116989,1.6485,1.85,0.646,15.791,931.0
CONFIRMED,0.997,942.5,25.4,27.9541337,3.95,1.9,0.646,15.791,400.0
